"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2014-01-17","900","-10","23","267","W","326","Light snow","0","86","10","1013","97","-10","-12","-19","26","-19","1","0.3","-9"
"2014-01-18","900","-9","24","182","S","122","Overcast","0","88","10","1013","100","-9","-11","-18","30","-18","1","1.8","-8"
"2014-01-19","900","-7","45","233","SW","113","Sunny","0","88","10","1009","10","-7","-9","-17","62","-17","2","0","-4"
"2014-01-20","900","-1","8","29","NNE","119","Cloudy","0","89","10","1012","74","-1","-2","-4","10","-4","1","0.2","-1"
"2014-01-21","900","-12","36","344","NNW","116","Partly cloudy","0","86","10","1028","54","-12","-14","-23","44","-23","2","0","-12"
"2014-01-22","900","-13","28","209","SSW","230","Blizzard","0.1","92","0","1018","86","-13","-14","-23","35","-23","1","0.1","-11"
"2014-01-23","900","-17","38","297","WNW","227","Blowing snow","0","92","2","1032","79","-17","-18","-29","43","-29","1","0","-14"
"2014-01-24","900","-13","51","214","SSW","116","Partly cloudy","0","82","10","1024","51","-13","-15","-25","65","-25","2","0","-10"
"2014-01-25","900","-5","50","319","NW","230","Blizzard","0.2","79","0","1002","84","-5","-8","-15","63","-15","1","0","-8"
"2014-01-26","900","-8","31","179","S","230","Blizzard","0.4","92","0","998","100","-8","-9","-17","41","-17","1","0.2","-6"
"2014-01-27","900","-18","32","286","WNW","227","Blowing snow","0","91","2","1025","88","-18","-19","-30","39","-30","1","0","-18"
"2014-01-28","900","-20","23","256","WSW","113","Sunny","0","82","10","1033","4","-20","-22","-31","29","-31","2","0","-17"
"2014-01-29","900","-14","27","246","WSW","113","Sunny","0","74","10","1025","0","-14","-17","-24","39","-24","2","0","-11"
"2014-01-30","900","-6","45","189","S","119","Cloudy","0","73","10","1012","76","-6","-10","-15","66","-15","1","0.1","-4"
"2014-01-31","900","-7","9","315","NW","119","Cloudy","0","84","10","1021","84","-7","-9","-12","13","-12","1","0.3","-6"
"2014-02-01","900","-2","11","62","ENE","338","Heavy snow","1.6","96","2","1013","100","-2","-3","-6","17","-6","1","12.9","-2"
