"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
0,1,0,0,863,"458,238,167",516,0.597914252607184,"198,375,290",563,0.652375434530707,17.6024875640869
0,1,0,1,863,"424,287,152",537,0.622247972190035,"198,375,290",563,0.652375434530707,12.3600788116455
0,1,1,0,863,"452,224,187",511,0.592120509849363,"198,375,290",563,0.652375434530707,14.7983846664429
0,1,1,1,863,"386,256,221",527,0.610660486674392,"198,375,290",563,0.652375434530707,2.79491949081421
1,1,0,0,796,"401,207,188",504,0.633165829145729,"200,337,259",547,0.687185929648241,11.5313959121704
1,1,0,1,796,"389,225,182",511,0.641959798994975,"200,337,259",547,0.687185929648241,9.06723880767822
1,1,1,0,796,"435,191,170",495,0.621859296482412,"200,337,259",547,0.687185929648241,21.3342380523682
1,1,1,1,796,"362,264,170",528,0.663316582914573,"200,337,259",547,0.687185929648241,5.65620851516724
2,1,0,0,776,"375,221,180",510,0.657216494845361,"176,338,262",530,0.68298969072165,5.6642107963562
2,1,0,1,776,"355,206,215",505,0.650773195876289,"176,338,262",530,0.68298969072165,3.56935524940491
2,1,1,0,776,"432,187,157",494,0.63659793814433,"176,338,262",530,0.68298969072165,20.8706703186035
2,1,1,1,776,"361,229,186",513,0.661082474226804,"176,338,262",530,0.68298969072165,3.64960765838623
3,1,0,0,847,"400,242,205",520,0.613931523022432,"194,380,273",562,0.663518299881936,3.65075039863586
3,1,0,1,847,"371,221,255",514,0.606847697756789,"194,380,273",562,0.663518299881936,2.99616241455078
3,1,1,0,847,"411,219,217",511,0.603305785123967,"194,380,273",562,0.663518299881936,5.75217390060425
3,1,1,1,847,"373,252,222",525,0.619834710743802,"194,380,273",562,0.663518299881936,2.75870585441589
4,1,0,0,677,"284,223,170",510,0.753323485967504,"176,255,246",494,0.729689807976366,2.07448124885559
4,1,0,1,677,"257,258,162",525,0.775480059084195,"176,255,246",494,0.729689807976366,1.74540293216705
4,1,1,0,677,"335,188,154",493,0.72821270310192,"176,255,246",494,0.729689807976366,10.9153318405151
4,1,1,1,677,"261,209,207",505,0.745937961595273,"176,255,246",494,0.729689807976366,1.66674649715424
5,1,0,0,897,"436,214,247",511,0.569676700111483,"187,402,308",569,0.634336677814939,6.67957639694214
5,1,0,1,897,"421,253,223",526,0.586399108138239,"187,402,308",569,0.634336677814939,5.06605052947998
5,1,1,0,897,"472,214,211",509,0.567447045707915,"187,402,308",569,0.634336677814939,13.5427293777466
5,1,1,1,897,"408,284,205",538,0.599777034559643,"187,402,308",569,0.634336677814939,2.64878106117249
6,1,0,0,851,"379,240,232",521,0.612220916568743,"183,365,303",550,0.646298472385429,4.55541086196899
6,1,0,1,851,"395,221,235",513,0.602820211515864,"183,365,303",550,0.646298472385429,5.58784246444702
6,1,1,0,851,"440,245,166",519,0.609870740305523,"183,365,303",550,0.646298472385429,13.3273010253906
6,1,1,1,851,"367,255,229",528,0.620446533490012,"183,365,303",550,0.646298472385429,4.0763111114502
7,1,0,0,753,"362,197,194",500,0.664010624169987,"161,346,246",524,0.695883134130146,4.06892061233521
7,1,0,1,753,"327,183,243",496,0.658698539176627,"161,346,246",524,0.695883134130146,4.44526672363281
7,1,1,0,753,"382,213,158",505,0.670650730411687,"161,346,246",524,0.695883134130146,6.76169395446777
7,1,1,1,753,"336,212,205",507,0.673306772908366,"161,346,246",524,0.695883134130146,4.18642663955688
8,1,0,0,680,"277,239,164",517,0.760294117647059,"175,265,240",497,0.730882352941176,1.70974886417389
8,1,0,1,680,"284,198,198",501,0.736764705882353,"175,265,240",497,0.730882352941176,2.03216314315796
8,1,1,0,680,"290,197,193",500,0.735294117647059,"175,265,240",497,0.730882352941176,2.44590401649475
8,1,1,1,680,"266,178,236",494,0.726470588235294,"175,265,240",497,0.730882352941176,0.345891624689102
9,1,0,0,733,"273,258,202",527,0.718963165075034,"189,260,284",507,0.691678035470669,1.43687260150909
9,1,0,1,733,"282,207,244",507,0.691678035470669,"189,260,284",507,0.691678035470669,1.44499599933624
9,1,1,0,733,"300,232,201",515,0.702592087312415,"189,260,284",507,0.691678035470669,1.6081850528717
9,1,1,1,733,"230,257,246",528,0.720327421555252,"189,260,284",507,0.691678035470669,3.0796492099762
10,1,0,0,849,"400,228,221",515,0.606595995288575,"191,372,286",557,0.656065959952886,5.09013223648071
10,1,0,1,849,"411,190,248",500,0.588928150765607,"191,372,286",557,0.656065959952886,5.84710025787354
10,1,1,0,849,"424,211,214",507,0.597173144876325,"191,372,286",557,0.656065959952886,9.01624774932861
10,1,1,1,849,"373,225,251",515,0.606595995288575,"191,372,286",557,0.656065959952886,2.56097149848938
11,1,0,0,598,"287,156,155",479,0.801003344481605,"129,253,216",460,0.769230769230769,5.24120998382568
11,1,0,1,598,"271,145,182",469,0.78428093645485,"129,253,216",460,0.769230769230769,3.10275936126709
11,1,1,0,598,"291,173,134",471,0.787625418060201,"129,253,216",460,0.769230769230769,5.18403244018555
11,1,1,1,598,"270,149,179",473,0.790969899665552,"129,253,216",460,0.769230769230769,3.23651528358459
12,1,0,0,820,"405,205,210",505,0.615853658536585,"147,350,323",521,0.635365853658537,9.98104000091553
12,1,0,1,820,"386,199,235",503,0.613414634146341,"147,350,323",521,0.635365853658537,8.3704080581665
12,1,1,0,820,"437,202,181",501,0.610975609756098,"147,350,323",521,0.635365853658537,14.4017753601074
12,1,1,1,820,"364,228,228",515,0.628048780487805,"147,350,323",521,0.635365853658537,8.72449779510498
13,1,0,0,635,"282,170,183",487,0.766929133858268,"153,249,233",476,0.749606299212598,3.37674760818481
13,1,0,1,635,"268,194,173",497,0.782677165354331,"153,249,233",476,0.749606299212598,2.36763691902161
13,1,1,0,635,"287,199,149",497,0.782677165354331,"153,249,233",476,0.749606299212598,3.56570959091187
13,1,1,1,635,"259,202,174",501,0.788976377952756,"153,249,233",476,0.749606299212598,2.05859637260437
14,1,0,0,774,"380,189,205",497,0.642118863049096,"162,356,256",530,0.684754521963824,5.36985969543457
14,1,0,1,774,"376,153,245",480,0.62015503875969,"162,356,256",530,0.684754521963824,4.07776212692261
14,1,1,0,774,"388,197,189",499,0.644702842377261,"162,356,256",530,0.684754521963824,6.70378684997559
14,1,1,1,774,"337,204,233",505,0.652454780361757,"162,356,256",530,0.684754521963824,5.84698009490967
15,1,0,0,643,"319,152,172",475,0.738724727838258,"117,298,228",473,0.735614307931571,5.99548578262329
15,1,0,1,643,"302,185,156",493,0.766718506998445,"117,298,228",473,0.735614307931571,4.62251472473145
15,1,1,0,643,"305,203,135",485,0.754276827371695,"117,298,228",473,0.735614307931571,3.28653025627136
15,1,1,1,643,"287,165,191",485,0.754276827371695,"117,298,228",473,0.735614307931571,6.54338550567627
0,2,0,0,863,"447,226,190",512,0.593279258400927,"198,375,290",563,0.652375434530707,13.3739748001099
0,2,0,1,863,"431,280,152",534,0.618771726535342,"198,375,290",563,0.652375434530707,13.527928352356
0,2,1,0,863,"463,219,181",509,0.589803012746234,"198,375,290",563,0.652375434530707,18.0638637542725
0,2,1,1,863,"398,258,207",527,0.610660486674392,"198,375,290",563,0.652375434530707,3.53622388839722
1,2,0,0,796,"424,199,173",499,0.626884422110553,"200,337,259",547,0.687185929648241,18.0057792663574
1,2,0,1,796,"388,222,186",510,0.64070351758794,"200,337,259",547,0.687185929648241,8.66250705718994
1,2,1,0,796,"431,189,176",496,0.623115577889447,"200,337,259",547,0.687185929648241,19.9850692749023
1,2,1,1,796,"399,224,173",510,0.64070351758794,"200,337,259",547,0.687185929648241,11.7260704040527
2,2,0,0,776,"416,188,172",494,0.63659793814433,"176,338,262",530,0.68298969072165,15.559118270874
2,2,0,1,776,"358,225,193",512,0.65979381443299,"176,338,262",530,0.68298969072165,3.57520842552185
2,2,1,0,776,"416,185,175",494,0.63659793814433,"176,338,262",530,0.68298969072165,15.5184259414673
2,2,1,1,776,"379,212,185",506,0.652061855670103,"176,338,262",530,0.68298969072165,6.62851524353027
3,2,0,0,847,"417,238,192",518,0.611570247933884,"194,380,273",562,0.663518299881936,6.44777727127075
3,2,0,1,847,"369,240,238",521,0.615112160566706,"194,380,273",562,0.663518299881936,3.64560580253601
3,2,1,0,847,"439,219,189",509,0.600944510035419,"194,380,273",562,0.663518299881936,11.7311573028564
3,2,1,1,847,"399,221,227",512,0.604486422668241,"194,380,273",562,0.663518299881936,3.90128302574158
4,2,0,0,677,"303,207,167",503,0.742983751846381,"176,255,246",494,0.729689807976366,4.47143363952637
4,2,0,1,677,"218,279,180",528,0.779911373707533,"176,255,246",494,0.729689807976366,1.44784820079803
4,2,1,0,677,"315,210,152",503,0.742983751846381,"176,255,246",494,0.729689807976366,7.33039617538452
4,2,1,1,677,"276,210,191",505,0.745937961595273,"176,255,246",494,0.729689807976366,1.71094107627869
5,2,0,0,897,"438,256,203",526,0.586399108138239,"187,402,308",569,0.634336677814939,6.47566318511963
5,2,0,1,897,"413,257,227",527,0.587513935340022,"187,402,308",569,0.634336677814939,4.43366050720215
5,2,1,0,897,"473,207,217",506,0.564102564102564,"187,402,308",569,0.634336677814939,13.7507019042969
5,2,1,1,897,"412,266,219",531,0.591973244147157,"187,402,308",569,0.634336677814939,4.00358533859253
6,2,0,0,851,"394,255,202",526,0.618096357226792,"183,365,303",550,0.646298472385429,4.73596811294556
6,2,0,1,851,"388,245,218",522,0.613396004700352,"183,365,303",550,0.646298472385429,4.87112188339233
6,2,1,0,851,"438,225,188",511,0.600470035252644,"183,365,303",550,0.646298472385429,11.863133430481
6,2,1,1,851,"401,225,225",513,0.602820211515864,"183,365,303",550,0.646298472385429,6.24154758453369
7,2,0,0,753,"366,207,180",504,0.669322709163347,"161,346,246",524,0.695883134130146,4.37618398666382
7,2,0,1,753,"321,219,213",511,0.678618857901726,"161,346,246",524,0.695883134130146,6.50040912628174
7,2,1,0,753,"383,206,164",502,0.666666666666667,"161,346,246",524,0.695883134130146,6.96447896957397
7,2,1,1,753,"356,197,200",500,0.664010624169987,"161,346,246",524,0.695883134130146,3.35301804542542
8,2,0,0,680,"271,235,174",516,0.758823529411765,"175,265,240",497,0.730882352941176,0.48058158159256
8,2,0,1,680,"243,214,223",509,0.748529411764706,"175,265,240",497,0.730882352941176,2.85274481773376
8,2,1,0,680,"297,217,166",507,0.745588235294118,"175,265,240",497,0.730882352941176,3.25884342193604
8,2,1,1,680,"280,184,216",495,0.727941176470588,"175,265,240",497,0.730882352941176,1.449059009552
9,2,0,0,733,"283,251,199",524,0.714870395634379,"189,260,284",507,0.691678035470669,0.937809765338898
9,2,0,1,733,"266,232,235",517,0.705320600272851,"189,260,284",507,0.691678035470669,2.85184907913208
9,2,1,0,733,"295,259,179",526,0.717598908594816,"189,260,284",507,0.691678035470669,1.50799751281738
9,2,1,1,733,"246,254,233",527,0.718963165075034,"189,260,284",507,0.691678035470669,3.17941308021545
10,2,0,0,849,"412,241,196",519,0.6113074204947,"191,372,286",557,0.656065959952886,6.2697925567627
10,2,0,1,849,"402,216,231",510,0.600706713780919,"191,372,286",557,0.656065959952886,5.29907846450806
10,2,1,0,849,"420,205,224",505,0.594817432273263,"191,372,286",557,0.656065959952886,8.14197540283203
10,2,1,1,849,"390,232,227",516,0.607773851590106,"191,372,286",557,0.656065959952886,3.96662735939026
11,2,0,0,598,"296,152,150",474,0.792642140468227,"129,253,216",460,0.769230769230769,6.59077882766724
11,2,0,1,598,"278,154,166",477,0.797658862876254,"129,253,216",460,0.769230769230769,4.16857051849365
11,2,1,0,598,"300,158,140",470,0.785953177257525,"129,253,216",460,0.769230769230769,7.16921234130859
11,2,1,1,598,"288,142,168",465,0.777591973244147,"129,253,216",460,0.769230769230769,5.09148788452148
12,2,0,0,820,"395,240,185",518,0.631707317073171,"147,350,323",521,0.635365853658537,8.2879753112793
12,2,0,1,820,"404,207,209",505,0.615853658536585,"147,350,323",521,0.635365853658537,9.89570903778076
12,2,1,0,820,"427,191,202",497,0.60609756097561,"147,350,323",521,0.635365853658537,12.7421398162842
12,2,1,1,820,"381,210,229",508,0.619512195121951,"147,350,323",521,0.635365853658537,8.51671886444092
13,2,0,0,635,"267,208,160",503,0.792125984251968,"153,249,233",476,0.749606299212598,1.61356401443481
13,2,0,1,635,"261,183,191",493,0.776377952755905,"153,249,233",476,0.749606299212598,2.35046482086182
13,2,1,0,635,"262,224,149",508,0.8,"153,249,233",476,0.749606299212598,1.10122191905975
13,2,1,1,635,"250,210,175",505,0.795275590551181,"153,249,233",476,0.749606299212598,2.03354930877686
14,2,0,0,774,"374,210,190",505,0.652454780361757,"162,356,256",530,0.684754521963824,4.50736618041992
14,2,0,1,774,"375,184,215",495,0.63953488372093,"162,356,256",530,0.684754521963824,4.45264387130737
14,2,1,0,774,"400,185,189",494,0.638242894056848,"162,356,256",530,0.684754521963824,9.01298999786377
14,2,1,1,774,"372,173,229",492,0.635658914728682,"162,356,256",530,0.684754521963824,3.37589979171753
15,2,0,0,643,"319,164,160",484,0.752721617418352,"117,298,228",473,0.735614307931571,6.14544010162354
15,2,0,1,643,"285,187,171",494,0.768273716951788,"117,298,228",473,0.735614307931571,7.04081153869629
15,2,1,0,643,"310,178,155",490,0.762052877138414,"117,298,228",473,0.735614307931571,5.16706466674805
15,2,1,1,643,"284,171,188",488,0.758942457231726,"117,298,228",473,0.735614307931571,7.19032287597656
0,3,0,0,863,"449,237,177",517,0.599073001158749,"198,375,290",563,0.652375434530707,14.5929126739502
