"id","level","collection","display","feedback","completionTime","trial","decision","userBR","pickup","currentReward","taskTime","feedbackTime","west_guess","north_guess","east_guess","west_flow_pred","north_flow_pred","east_flow_pred","west_prob_pred","north_prob_pred","east_prob_pred","west_flow_realized","north_flow_realized","east_flow_realized","west_prob_realized","north_prob_realized","east_prob_realized","br1","br2","userGuess","predFlow","realizedFlow","ae"
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,0,"west",1,"true",2,2.1072,0.135533333333333,212,350,301,"198","375","290","0.77","0.67","0.54","179","347","337","0.75","0.70","0.48","west","none","212,350,301","198,375,290","179,347,337",4.71107339859009
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,1,"west",1,"true",2.2,0.4464,0.06215,127,351,275,"161","346","246","0.80","0.70","0.63","150","318","285","0.84","0.57","0.52","west","none","127,351,275","161,346,246","150,318,285",6.71067237854004
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,2,"west",1,"true",2.4,0.386783333333333,0.0394666666666667,185,332,257,"162","356","256","0.80","0.69","0.61","152","334","288","0.78","0.73","0.54","west","none","185,332,257","162,356,256","152,334,288",4.59121179580688
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,3,"west",1,"true",2.6,0.410083333333333,0.03875,210,357,282,"191","372","286","0.77","0.68","0.55","144","368","337","0.74","0.64","0.42","west","none","210,357,282","191,372,286","144,368,337",10.9880256652832
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,4,"north",1,"true",2.8,0.3556,0.0372,175,276,282,"189","260","284","0.77","0.78","0.56","174","258","301","0.75","0.82","0.62","north","none","175,276,282","189,260,284","174,258,301",0.761771321296692
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,5,"west",1,"true",3,0.288433333333333,0.0295166666666667,145,350,325,"147","350","323","0.80","0.69","0.50","147","375","298","0.65","0.53","0.37","west","none","145,350,325","147,350,323","147,375,298",1.89789772033691
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,6,"west",1,"true",3.2,0.2431,0.16885,225,348,223,"200","337","259","0.77","0.70","0.60","179","342","275","0.85","0.76","0.55","west","none","225,348,223","200,337,259","179,342,275",3.09564185142517
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,7,"west",0,"false",3.2,0.3415,0.05385,169,250,258,"176","255","246","0.78","0.79","0.63","166","240","271","0.81","0.82","0.63","north","none","169,250,258","176,255,246","166,240,271",0.718320786952972
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,8,"west",1,"true",3.4,0.219383333333333,0.0877166666666667,130,256,212,"129","253","216","0.83","0.79","0.71","139","239","220","0.86","0.84","0.78","west","none","130,256,212","129,253,216","139,239,220",2.12232828140259
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,9,"west",1,"true",3.6,0.318033333333333,0.0260666666666667,175,260,245,"175","265","240","0.78","0.77","0.64","143","272","265","0.82","0.75","0.54","west","none","175,260,245","175,265,240","143,272,265",4.71243238449097
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,10,"west",1,"true",3.8,0.429266666666667,0.0288333333333333,175,375,297,"194","380","273","0.77","0.67","0.58","172","369","306","0.78","0.77","0.56","west","none","175,375,297","194,380,273","172,369,306",0.931631028652191
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,11,"west",1,"false",3.8,0.683166666666667,0.0431666666666667,120,300,223,"117","298","228","0.85","0.73","0.68","134","294","215","0.79","0.74","0.60","west","none","120,300,223","117,298,228","134,294,215",2.73123860359192
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,12,"west",1,"true",4,0.276566666666667,0.0331833333333333,130,400,367,"187","402","308","0.78","0.66","0.52","181","374","342","0.82","0.74","0.48","west","none","130,400,367","187,402,308","181,374,342",12.2567415237427
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,13,"north",1,"false",4,0.215383333333333,0.0866,175,239,221,"153","249","233","0.80","0.80","0.67","137","263","235","0.81","0.83","0.67","north","west","175,239,221","153,249,233","137,263,235",5.17869234085083
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,14,"west",1,"true",4.2,0.24775,0.0234833333333333,190,335,251,"176","338","262","0.78","0.70","0.60","174","340","262","0.81","0.78","0.64","west","none","190,335,251","176,338,262","174,340,262",2.05837917327881
"55bce852fdf99b268358f83b",1,"robustTrial",1,0,12.0067833333333,15,"west",1,"false",4.2,0.2791,0.0413833333333333,195,339,317,"183","365","303","0.78","0.68","0.52","161","321","369","0.67","0.56","0.38","west","none","195,339,317","183,365,303","161,321,369",6.86808109283447
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,0,"west",1,"true",2,3.3347,0.589316666666667,198,375,290,"198","375","290","0.77","0.67","0.54","179","347","337","0.75","0.70","0.48","west","none","198,375,290","198,375,290","179,347,337",3.67753267288208
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,1,"west",1,"true",2.2,0.594033333333333,0.0448166666666667,161,346,246,"161","346","246","0.80","0.70","0.63","150","318","285","0.84","0.57","0.52","west","none","161,346,246","161,346,246","150,318,285",3.67126059532166
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,2,"west",1,"false",2.2,0.187383333333333,0.0542333333333333,162,356,256,"162","356","256","0.80","0.69","0.61","152","334","288","0.78","0.73","0.54","west","none","162,356,256","162,356,256","152,334,288",3.27694392204285
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,3,"west",1,"false",2.2,0.172616666666667,0.0282,191,372,286,"191","372","286","0.77","0.68","0.55","144","368","337","0.74","0.64","0.42","west","none","191,372,286","191,372,286","144,368,337",8.02676010131836
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,4,"west",0,"true",2.4,0.277733333333333,0.0308,189,260,284,"189","260","284","0.77","0.78","0.56","174","258","301","0.75","0.82","0.62","north","none","189,260,284","189,260,284","174,258,301",2.36329746246338
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,5,"west",1,"true",2.6,0.18265,0.06425,147,350,323,"147","350","323","0.80","0.69","0.50","147","375","298","0.65","0.53","0.37","west","none","147,350,323","147,350,323","147,375,298",1.58565890789032
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,6,"west",1,"true",2.8,0.234433333333333,0.0239166666666667,200,337,259,"200","337","259","0.77","0.70","0.60","179","342","275","0.85","0.76","0.55","west","none","200,337,259","200,337,259","179,342,275",2.50052452087402
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,7,"west",0,"false",2.8,0.237216666666667,0.02255,176,255,246,"176","255","246","0.78","0.79","0.63","166","240","271","0.81","0.82","0.63","north","none","176,255,246","176,255,246","166,240,271",1.53724992275238
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,8,"west",1,"true",3,0.188066666666667,0.0237666666666667,129,253,216,"129","253","216","0.83","0.79","0.71","139","239","220","0.86","0.84","0.78","west","none","129,253,216","129,253,216","139,239,220",2.060378074646
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,9,"west",1,"true",3.2,0.217083333333333,0.0226666666666667,175,265,240,"175","265","240","0.78","0.77","0.64","143","272","265","0.82","0.75","0.54","west","none","175,265,240","175,265,240","143,272,265",4.56551694869995
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,10,"west",1,"true",3.4,0.172916666666667,0.0253666666666667,194,380,273,"194","380","273","0.77","0.67","0.58","172","369","306","0.78","0.77","0.56","west","none","194,380,273","194,380,273","172,369,306",3.58501839637756
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,11,"west",1,"false",3.4,0.189266666666667,0.02745,117,298,228,"117","298","228","0.85","0.73","0.68","134","294","215","0.79","0.74","0.60","west","none","117,298,228","117,298,228","134,294,215",3.00198745727539
"55cb79e0fdf99b3c26ae4bca",1,"robustTrial",0,0,11.9399333333333,12,"west",1,"true",3.6,0.151166666666667,0.0223333333333333,187,402,308,"187","402","308","0.78","0.66","0.52","181","374","342","0.82","0.74","0.48","west","none","187,402,308","187,402,308","181,374,342",2.72277355194092
